,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
117,7,4,4,3,0,15,9,5,7,2,3,5,0,8,5,4,5,2,1,3,1,4,9,10,5,9,5,7,18,3,4,3,5
118,7,4,4,3,0,15,9,5,7,2,3,5,0,8,5,4,5,2,2,3,1,4,9,10,5,9,5,7,18,2,4,3,5
119,7,4,4,3,0,15,9,5,7,2,3,5,0,8,5,4,5,2,1,3,1,4,9,10,5,9,5,7,19,3,4,3,5
120,7,4,4,3,0,15,9,5,7,3,3,5,0,8,5,4,5,2,2,3,1,4,9,9,5,9,5,7,19,3,4,3,5
121,7,4,4,3,0,15,9,5,7,2,3,5,0,8,5,4,5,2,2,3,1,4,9,10,5,9,5,8,19,3,4,3,5
122,7,4,4,3,0,16,8,5,7,2,3,6,0,8,5,4,5,2,2,3,1,4,9,10,5,9,5,8,19,3,4,3,5
123,7,4,4,3,0,17,8,5,7,3,3,6,0,8,5,4,5,2,2,3,1,4,9,10,5,9,5,8,19,3,4,3,5
124,7,5,3,3,0,17,8,5,7,4,3,6,0,8,4,4,5,2,2,3,1,4,9,9,5,9,5,8,19,3,4,3,5
125,7,5,3,3,0,17,8,5,7,3,3,6,0,8,4,3,5,2,1,3,1,4,9,9,5,9,5,8,19,3,4,3,5
126,7,5,4,3,0,17,8,5,7,2,3,6,0,8,4,3,5,2,2,3,1,4,9,9,5,9,5,8,19,3,4,3,5
127,7,5,4,3,0,17,8,5,7,2,3,5,0,8,4,3,5,2,1,2,1,4,10,9,5,9,5,8,19,3,4,3,5
128,7,5,4,3,0,17,8,5,7,2,3,5,0,8,4,3,5,2,1,2,1,4,10,10,5,10,5,7,19,3,4,3,4
129,6,4,4,3,0,17,8,5,7,2,3,6,0,8,4,3,5,2,1,3,1,3,10,10,5,10,5,7,19,3,5,3,4
130,6,4,4,3,0,17,8,5,7,2,3,6,0,8,4,3,5,2,1,3,1,3,9,10,5,10,5,7,19,3,5,3,4
131,6,4,4,3,0,17,8,5,7,2,3,6,0,8,4,3,5,2,1,3,1,3,9,10,5,10,5,7,19,3,5,3,4
132,6,4,4,2,0,17,8,5,7,3,3,6,0,8,4,3,5,2,1,3,1,3,9,10,5,10,5,8,19,3,5,3,4
133,6,4,4,2,0,16,8,5,7,3,3,5,0,8,4,3,5,2,1,3,1,3,9,10,5,10,5,8,19,3,5,3,4
134,6,5,4,2,0,16,8,5,7,3,3,5,0,8,4,3,5,2,2,3,1,3,9,10,5,10,5,8,19,3,5,3,4
135,6,4,4,2,0,16,8,5,7,2,3,5,0,8,4,4,5,2,2,3,1,3,9,10,5,10,5,7,19,3,5,3,4
136,6,4,4,2,0,16,8,5,7,2,3,5,0,8,4,3,5,2,2,3,1,3,9,10,5,10,5,7,19,3,5,3,4
137,7,5,4,2,0,16,8,5,7,3,3,5,0,8,4,3,5,2,2,3,1,3,8,9,5,10,5,7,19,3,5,3,4
138,7,4,4,2,0,16,8,5,7,3,3,5,0,8,4,4,5,2,2,3,1,3,8,9,5,10,5,7,19,3,5,3,5
