,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
92,1,5,0,5,5,12,6,12,2,1,1,1,7,5,3,1,3,1,3,9,2,21,6,6,0,8,2,2,19,1,7,7,4
93,1,5,0,5,5,12,6,12,2,1,1,1,7,5,4,1,3,1,3,9,2,21,7,6,0,8,2,2,19,1,7,7,4
94,1,4,0,5,5,12,6,12,2,2,1,1,7,5,4,1,3,1,3,9,2,21,6,6,0,8,2,2,19,1,7,7,4
95,1,4,0,5,5,12,6,12,2,2,1,1,7,5,4,1,3,1,2,9,2,21,6,6,0,8,2,2,19,1,7,7,4
96,1,4,0,5,5,12,6,12,2,2,1,1,7,5,4,1,3,1,2,9,2,22,6,6,0,8,2,2,19,1,7,7,4
97,1,4,0,5,5,13,6,12,2,2,1,1,7,5,4,1,3,1,2,9,2,22,6,6,0,8,2,2,19,1,7,7,4
98,1,4,0,5,5,13,5,12,2,1,1,1,7,5,4,1,3,1,3,9,2,22,6,6,0,8,2,2,19,1,7,7,4
99,1,4,0,5,5,13,5,12,2,2,1,1,8,5,3,1,3,1,3,9,2,22,6,7,0,8,2,2,20,1,7,7,4
100,1,4,0,5,5,13,5,12,2,2,1,1,8,5,3,1,3,1,3,9,2,22,6,7,0,8,2,2,20,1,7,7,4
101,0,4,0,5,5,13,5,12,2,2,1,1,8,5,3,0,3,0,3,9,2,22,6,7,0,8,2,2,20,1,7,7,3
102,0,4,0,5,5,13,5,12,2,1,1,1,8,5,3,0,3,1,3,9,3,22,6,7,0,8,2,2,20,1,7,7,4
103,0,4,0,5,5,13,5,12,2,2,1,1,8,5,3,0,3,1,2,9,3,22,6,6,0,8,2,2,20,1,7,7,4
104,0,4,0,5,5,13,5,12,2,2,2,1,8,5,3,0,3,1,2,9,3,22,6,6,0,8,2,2,20,1,7,7,4
105,0,5,0,5,5,13,6,12,2,1,1,1,8,5,4,0,3,1,2,9,2,21,6,6,0,8,2,2,20,1,7,7,4
106,0,5,0,5,5,13,6,12,2,1,1,1,8,5,4,0,3,1,2,9,2,21,5,6,0,8,2,2,20,1,7,7,4
107,0,4,0,5,5,13,6,12,2,2,1,1,8,5,4,0,3,1,3,9,2,22,5,6,0,7,2,2,20,1,7,7,4
108,0,4,0,5,5,12,6,12,2,2,1,1,8,5,4,1,3,1,2,9,2,22,5,6,0,7,2,2,20,1,7,7,4
109,0,4,0,5,5,12,6,12,2,2,1,1,8,5,4,1,3,1,3,9,2,22,5,6,0,8,2,2,20,1,7,7,4
110,0,4,0,5,5,12,6,12,3,2,1,1,8,5,4,1,3,1,3,9,2,22,5,6,0,8,2,2,20,2,7,7,4
111,0,4,0,5,5,12,6,12,3,2,1,1,8,5,4,1,3,1,3,9,2,22,5,6,0,8,2,2,20,1,6,7,4
112,0,4,0,5,5,12,5,12,3,2,1,1,7,5,4,1,3,1,3,9,2,22,5,6,0,8,2,2,20,1,6,7,4
113,0,4,0,5,5,12,5,12,2,2,1,1,7,5,4,1,3,1,3,9,2,22,5,6,0,8,2,2,20,1,6,7,4
114,0,4,0,5,5,13,5,12,2,2,1,1,7,5,4,1,3,1,3,9,2,22,5,6,0,8,2,2,20,2,6,7,3
115,0,4,0,5,5,13,5,12,1,2,1,1,7,5,4,0,3,1,3,9,2,22,5,5,0,8,2,2,20,1,6,7,3
116,0,4,0,5,5,13,5,12,1,2,1,1,7,5,3,0,3,1,3,9,2,22,5,5,0,8,2,2,20,1,6,7,3
117,0,5,0,5,5,13,5,12,2,2,1,1,8,5,3,0,3,1,3,9,2,22,5,5,0,8,2,2,20,1,7,7,3
118,0,5,0,5,5,13,5,12,2,2,1,1,8,5,3,0,3,1,2,9,2,22,5,5,0,8,2,2,20,2,7,7,3
119,0,5,0,5,5,13,5,12,2,2,1,1,8,5,3,0,3,1,3,9,2,22,5,5,0,8,2,2,19,1,7,7,3
120,0,5,0,5,5,13,5,12,2,1,1,1,8,5,3,0,3,1,2,9,2,22,5,6,0,8,2,2,19,1,7,7,3
121,0,5,0,5,5,13,5,12,2,2,1,1,8,5,3,0,3,1,2,9,2,22,5,5,0,8,2,1,19,1,7,7,3
122,0,5,0,5,5,12,6,12,2,2,1,0,8,5,3,0,3,1,2,9,2,22,5,5,0,8,2,1,19,1,7,7,3
123,0,5,0,5,5,11,6,12,2,1,1,0,8,5,3,0,3,1,2,9,2,22,5,5,0,8,2,1,19,1,7,7,3
124,0,4,1,5,5,11,6,12,2,0,1,0,8,5,4,0,3,1,2,9,2,22,5,6,0,8,2,1,19,1,7,7,3
125,0,4,1,5,5,11,6,12,2,1,1,0,8,5,4,1,3,1,3,9,2,22,5,6,0,8,2,1,19,1,7,7,3
126,0,4,0,5,5,11,6,12,2,2,1,0,8,5,4,1,3,1,2,9,2,22,5,6,0,8,2,1,19,1,7,7,3
127,0,4,0,5,5,11,6,12,2,2,1,1,8,5,4,1,3,1,3,10,2,22,4,6,0,8,2,1,19,1,7,7,3
128,0,4,0,5,5,11,6,12,2,2,1,1,8,5,4,1,3,1,3,10,2,22,4,5,0,7,2,2,19,1,7,7,4
129,1,5,0,5,5,11,6,12,2,2,1,0,8,5,4,1,3,1,3,9,2,23,4,5,0,7,2,2,19,1,6,7,4
130,1,5,0,5,5,11,6,12,2,2,1,0,8,5,4,1,3,1,3,9,2,23,5,5,0,7,2,2,19,1,6,7,4
131,1,5,0,5,5,11,6,12,2,2,1,0,8,5,4,1,3,1,3,9,2,23,5,5,0,7,2,2,19,1,6,7,4
132,1,5,0,6,5,11,6,12,2,1,1,0,8,5,4,1,3,1,3,9,2,23,5,5,0,7,2,1,19,1,6,7,4
133,1,5,0,6,5,12,6,12,2,1,1,1,8,5,4,1,3,1,3,9,2,23,5,5,0,7,2,1,19,1,6,7,4
134,1,4,0,6,5,12,6,12,2,1,1,1,8,5,4,1,3,1,2,9,2,23,5,5,0,7,2,1,19,1,6,7,4
135,1,5,0,6,5,12,6,12,2,2,1,1,8,5,4,0,3,1,2,9,2,23,5,5,0,7,2,2,19,1,6,7,4
136,1,5,0,6,5,12,6,12,2,2,1,1,8,5,4,1,3,1,2,9,2,23,5,5,0,7,2,2,19,1,6,7,4
137,0,4,0,6,5,12,6,12,2,1,1,1,8,5,4,1,3,1,2,9,2,23,6,6,0,7,2,2,19,1,6,7,4
138,0,5,0,6,5,12,6,12,2,1,1,1,8,5,4,0,3,1,2,9,2,23,6,6,0,7,2,2,19,1,6,7,3
139,0,5,0,6,5,12,6,12,2,1,1,1,8,5,4,0,3,1,3,10,2,23,6,6,0,8,2,2,19,1,6,7,3
140,0,4,0,6,5,12,6,12,2,1,1,1,8,5,4,0,3,1,2,10,2,23,6,6,0,8,2,2,19,1,6,7,4
141,0,4,0,6,5,12,6,12,2,1,1,1,8,5,4,1,3,1,3,10,2,23,6,6,0,9,2,2,19,1,6,7,4
142,0,4,0,6,5,12,6,12,2,1,1,1,8,5,4,1,3,1,3,10,2,23,6,6,0,9,2,2,20,1,6,7,4
143,0,4,0,6,5,12,6,12,2,1,1,1,8,5,5,1,3,1,3,10,2,22,6,6,0,9,2,2,20,1,6,7,4
144,0,4,0,6,5,13,6,12,2,1,1,1,8,5,5,1,3,1,3,10,2,22,6,6,0,9,2,2,20,1,6,7,4
145,0,4,0,6,5,12,6,12,2,1,1,1,8,5,5,1,3,1,3,10,2,22,6,6,0,9,2,2,19,1,7,7,4
146,0,4,0,6,5,12,6,12,2,1,1,1,8,5,4,1,3,1,3,10,2,22,6,6,0,9,2,2,19,1,7,7,4
147,0,5,0,6,5,12,6,12,2,1,1,1,8,5,5,1,3,1,3,10,2,22,7,6,0,9,2,2,19,1,7,7,4
148,0,5,0,5,5,12,6,12,2,1,1,1,8,5,5,1,2,1,3,10,2,22,6,6,0,9,2,2,19,1,7,7,4
149,0,5,0,5,5,11,7,12,2,1,1,1,8,5,4,1,2,1,3,10,2,22,6,6,0,8,2,2,19,1,7,7,4
150,0,5,0,6,5,11,7,12,2,1,1,1,8,5,5,1,2,1,2,10,2,22,7,6,0,8,2,2,19,1,6,7,4
151,0,5,0,6,5,11,7,12,2,1,1,1,8,5,5,1,2,1,2,10,2,22,7,6,0,8,2,2,19,1,6,7,4
152,0,5,0,6,5,11,7,12,2,1,1,1,8,5,5,1,2,1,2,10,2,22,7,6,0,8,2,2,19,1,6,7,4
153,0,5,0,6,5,11,6,12,2,1,1,1,8,5,5,1,2,1,3,10,2,22,7,6,0,8,2,2,19,1,6,7,4
154,0,5,0,5,5,11,6,12,2,2,1,1,8,5,5,1,2,1,2,10,2,22,7,6,0,7,2,2,19,0,6,7,4
155,0,5,0,5,5,11,6,12,2,2,1,1,8,5,5,1,2,1,2,10,2,22,7,7,0,7,2,2,19,0,6,8,4
156,0,5,0,5,5,11,5,12,2,2,1,1,8,5,4,0,2,0,3,10,2,22,7,7,0,7,2,2,19,0,6,8,4
157,0,6,0,5,5,11,5,12,2,2,1,1,8,5,4,0,2,0,3,9,2,22,7,7,0,7,2,2,19,0,6,8,3
158,0,6,0,5,5,11,5,12,2,2,1,1,8,5,4,1,2,1,3,9,2,22,7,7,0,7,2,2,19,1,6,8,4
159,0,6,0,5,5,11,5,12,2,2,1,1,8,5,4,1,2,1,3,9,2,22,7,7,0,7,2,2,19,1,7,8,3
160,0,6,0,5,5,10,5,12,2,2,1,1,8,5,4,1,2,1,3,9,2,21,7,7,0,6,2,2,19,0,7,7,3
161,0,6,0,5,5,10,5,12,2,2,1,1,8,5,4,1,2,1,3,9,2,21,7,7,0,6,2,2,19,0,6,8,3
162,0,6,0,5,5,11,5,12,2,2,1,1,8,5,4,1,2,1,3,9,3,21,7,7,0,6,2,2,19,1,6,8,3
163,1,6,0,5,5,11,5,12,2,2,1,1,8,5,4,1,2,1,3,9,2,21,7,7,0,7,2,2,19,1,6,8,3
164,1,6,0,5,5,12,5,12,2,2,1,1,8,5,4,1,2,1,3,9,2,21,6,7,0,7,2,2,19,1,6,8,3
165,1,6,0,5,5,12,5,12,2,2,1,1,8,5,4,1,2,1,2,9,2,20,6,7,0,7,2,2,19,1,6,8,3
166,1,6,0,5,5,12,5,12,3,2,1,1,8,5,4,1,2,1,3,8,2,20,6,7,0,7,2,2,19,1,6,8,3
167,1,5,0,5,5,12,5,12,2,2,1,1,8,5,4,1,2,1,3,8,2,20,6,7,0,7,2,2,19,1,6,8,2
168,1,6,0,5,5,12,5,12,2,2,1,1,8,5,4,1,2,1,3,8,2,20,6,7,0,7,2,2,19,1,6,8,3
169,1,6,0,5,5,12,5,12,2,1,1,1,8,5,4,1,2,1,3,8,2,20,6,7,0,7,2,2,19,1,6,8,3
170,1,6,0,5,5,13,4,12,2,1,1,1,8,5,4,1,2,1,3,8,2,20,6,7,0,7,2,2,19,0,6,8,4
171,1,6,0,5,5,13,4,12,2,1,1,1,8,5,4,0,2,1,3,8,2,20,6,7,0,7,2,2,19,0,7,8,4
172,0,6,0,6,5,13,4,12,3,1,1,1,8,5,4,0,2,1,3,8,2,20,6,7,0,7,2,2,19,1,7,8,4
173,0,6,0,6,5,13,4,12,3,1,1,1,8,5,4,0,2,1,2,8,2,20,6,7,0,7,2,2,19,1,7,8,4
174,1,6,0,6,5,13,4,12,3,1,1,1,7,5,4,1,2,1,3,9,2,20,6,7,0,7,2,2,19,0,7,8,4
175,1,5,0,6,5,13,4,12,3,2,1,1,7,5,4,1,2,1,3,9,2,21,6,7,0,7,2,2,19,0,6,8,4
176,1,5,0,6,5,13,4,12,3,2,1,1,7,5,5,0,2,1,3,9,2,21,6,7,0,7,2,2,19,0,6,8,4
177,1,5,0,6,5,13,4,12,3,2,1,1,7,5,5,1,2,1,2,9,2,21,6,7,0,7,2,2,19,0,6,8,4
178,1,5,0,6,5,13,4,12,3,2,1,1,7,5,5,1,2,0,3,9,2,22,6,7,0,7,2,2,18,0,6,8,3
179,1,5,0,6,5,13,4,12,3,1,2,1,7,5,5,1,2,1,2,9,2,22,6,7,0,6,2,2,18,1,6,8,3
180,1,4,0,6,5,13,4,12,3,1,1,1,7,5,5,1,2,0,3,9,2,22,6,7,0,6,2,2,17,1,6,8,3
181,1,5,0,6,5,13,5,12,3,0,1,1,7,5,4,1,2,0,3,9,2,22,6,6,0,6,2,2,17,1,6,8,3
182,1,5,0,5,5,13,6,12,3,1,1,1,7,5,4,1,2,0,3,9,2,22,6,7,0,6,2,2,17,1,6,8,3
183,1,4,0,5,5,13,6,12,3,2,1,1,7,5,4,1,2,0,3,9,2,22,6,7,0,6,2,2,17,1,6,8,3
184,1,4,0,5,5,13,6,12,3,2,1,1,7,6,4,1,2,0,3,9,2,21,6,6,0,6,2,2,17,1,6,8,3
185,1,4,0,5,5,12,7,12,3,2,1,1,7,6,4,1,2,0,3,9,2,21,5,6,0,6,2,2,17,1,6,8,4
186,1,4,0,5,5,12,6,12,3,2,1,1,7,5,4,1,2,1,3,9,2,21,5,6,0,6,2,2,17,1,6,8,4
187,1,3,0,5,5,12,6,12,2,2,1,1,7,4,4,1,2,1,3,10,2,21,5,7,0,6,2,2,17,1,6,8,4
188,1,3,1,5,5,13,6,12,2,2,1,1,7,5,4,1,2,1,3,10,2,21,5,7,0,6,2,2,17,1,6,8,4
189,1,3,1,5,5,13,6,12,2,2,1,1,7,5,4,1,2,1,3,10,2,21,5,7,0,6,2,2,17,0,6,8,4
190,1,3,0,5,5,13,6,12,2,2,1,1,7,5,4,1,2,1,3,10,2,22,5,7,0,6,2,2,17,0,7,8,4
191,1,3,0,5,5,13,6,12,2,1,1,1,6,5,4,1,2,1,3,10,2,22,5,7,0,6,2,2,17,0,7,8,4
192,0,3,0,5,5,13,6,12,2,2,1,1,7,5,4,1,2,1,3,10,2,21,5,7,0,6,2,2,17,0,6,8,4
193,0,3,0,5,5,13,5,12,2,2,1,1,7,5,4,1,1,1,3,10,2,21,5,6,1,6,2,2,17,0,6,8,4
194,0,3,0,5,5,14,5,12,2,2,1,1,7,5,4,0,2,0,3,10,2,21,4,5,0,6,3,2,17,0,6,8,4
195,0,3,0,5,5,14,5,12,2,2,1,1,7,5,4,1,2,1,3,10,2,21,4,4,0,6,3,2,17,0,6,8,4
196,0,3,0,5,5,14,6,12,2,2,1,1,7,4,4,1,2,1,2,10,2,21,5,4,0,6,3,2,17,0,6,8,4
197,0,3,0,5,5,14,6,12,2,2,1,1,7,4,4,1,2,1,2,10,2,21,6,4,0,6,3,2,17,0,6,8,3
198,0,3,0,5,5,14,6,12,3,2,1,1,7,4,4,1,2,1,2,10,2,21,6,5,0,6,3,2,17,0,6,8,3
