GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
3110900136P,1,3110900136P,468,304,147,554,370,168,469,230,201,428,290,112,427,304,123,214,0,214,517,331,148,1007,834,79,58,20,18,0,58,0,15,0,0,1172,826,240,77,15,17,0,0,0,872,687,120,55,0,4,0,55,0,4,0,0,0,1342,788,489,59,0,6,0,59,0,6,0,0,0,1559,1094,233,155,43,62,5,0,0,1202,913,148,92,25,38,3,0,0,1149,788,189,77,42,13,0,1,39,1533,969,285,180,74,50,4,1149,788,189,97,51,32,2
3102500006W,2,3102500006W,289,93,180,375,130,229,352,90,229,241,89,133,240,93,147,177,0,177,315,94,198,517,479,5,8,0,24,0,8,0,0,0,0,705,643,15,27,0,27,0,0,0,720,671,33,1,0,17,0,1,0,0,0,0,0,957,902,33,1,3,18,0,1,3,0,0,3,18,792,728,33,10,9,5,8,0,0,583,545,20,8,5,4,3,0,0,605,538,32,5,2,4,0,3,21,800,691,54,10,10,27,3,605,538,32,8,5,17,1
3110900044P,1,3110900044P,629,341,268,776,426,337,713,310,357,545,310,200,543,335,208,375,0,375,691,348,290,1426,1241,48,73,8,54,0,61,8,50,0,0,1794,1414,177,118,28,87,0,0,0,1322,1052,38,76,97,55,0,54,97,40,0,0,0,1690,1215,169,96,154,53,0,52,154,40,0,0,56,1952,1627,125,157,30,57,1,0,0,1439,1267,68,70,20,29,1,0,0,1404,1126,123,44,29,13,0,6,63,1834,1396,200,128,55,87,4,1404,1126,123,72,39,44,2
3110900212P,1,3110900212P,652,329,298,823,441,361,772,331,394,527,283,214,524,294,230,381,0,381,727,327,355,1578,1305,114,100,51,9,0,100,51,0,0,0,2119,1668,245,101,93,38,0,0,0,1316,1040,123,92,47,13,0,92,47,0,0,0,0,2038,1372,447,95,100,39,0,95,100,0,0,14,12,1910,1475,118,134,170,27,4,0,0,1477,1206,74,61,122,16,1,0,0,1504,1133,158,70,107,5,0,3,28,1948,1363,260,164,150,51,1,1504,1133,158,84,115,33,0
3110900132P,1,3110900132P,782,610,143,914,723,167,711,445,191,743,603,108,740,622,118,312,0,312,874,647,159,1779,1530,90,134,8,24,0,121,8,18,3,0,2217,1664,238,209,68,38,0,0,0,1818,1523,82,142,37,16,0,121,37,13,0,17,0,2240,1625,218,290,76,23,13,206,72,11,0,0,107,2374,1461,338,314,204,88,2,0,0,1992,1301,251,238,155,66,2,0,0,2080,1365,225,254,100,31,0,12,93,2432,1488,325,397,146,119,3,2080,1365,225,304,115,83,1
3102500002W,2,3102500002W,263,95,156,321,107,202,300,64,215,227,80,133,225,103,122,151,0,151,285,96,169,393,384,3,3,0,5,0,3,0,3,0,0,473,457,11,6,0,6,0,0,0,414,409,3,3,0,6,0,3,0,3,0,0,0,536,520,7,6,0,6,0,4,0,3,0,0,6,598,593,1,2,3,2,0,0,0,440,437,0,2,1,1,0,0,0,431,405,3,2,0,1,1,1,18,572,533,9,6,0,13,4,431,405,3,4,0,10,3
31013001303,3,31013001303,412,122,272,476,120,338,463,85,328,374,122,228,373,154,219,279,0,279,468,122,309,812,730,60,9,10,4,0,9,10,4,0,0,999,835,143,24,10,1,0,0,0,913,770,82,8,28,18,0,8,28,18,0,0,0,1186,972,128,26,27,54,2,8,27,54,0,0,0,1169,908,170,13,4,102,0,0,0,897,718,123,9,2,65,0,0,0,873,674,116,12,2,27,0,1,41,1145,839,169,27,12,99,1,873,674,116,15,4,62,0
310250003W2,2,310250003W2,276,93,170,350,122,218,330,95,208,231,81,138,232,92,140,166,0,166,282,77,177,561,553,9,0,0,0,0,0,0,0,0,0,760,751,9,0,0,0,0,0,0,507,502,6,0,0,0,0,0,0,0,0,0,0,749,743,5,0,0,0,0,0,0,0,0,0,0,782,723,33,11,12,5,6,0,0,570,540,15,7,7,3,4,0,0,547,510,11,0,0,1,0,3,22,727,659,24,3,8,15,2,547,510,11,0,2,9,0
31013001302,3,31013001302,487,130,339,590,135,438,573,117,411,400,106,269,399,130,269,317,0,317,548,137,365,1163,1033,53,15,0,60,0,15,0,60,0,0,1648,1333,106,15,15,179,0,0,0,1267,1121,89,16,22,17,0,16,22,17,0,0,0,1634,1345,189,32,38,42,0,14,38,42,0,0,0,1739,1320,291,18,5,133,0,0,0,1306,1073,163,8,5,72,0,0,0,1200,925,181,6,4,52,0,1,31,1563,1126,280,18,12,157,4,1200,925,181,11,10,82,1
3102500008W,2,3102500008W,336,96,225,446,137,291,419,96,300,280,89,180,279,94,185,216,0,216,336,84,214,691,674,7,3,0,7,0,3,0,0,0,0,982,961,9,6,0,6,0,0,0,698,680,12,0,0,4,0,0,0,0,0,0,0,1009,992,12,0,0,4,0,0,0,0,0,0,4,1013,951,37,8,5,17,1,0,0,686,649,21,4,3,10,1,0,0,792,701,38,3,4,2,0,6,38,1052,915,62,6,14,34,5,792,701,38,3,9,20,5
3102500017P,2,3102500017P,354,103,241,402,113,279,378,82,278,320,93,215,322,104,218,270,0,270,385,104,258,617,584,21,0,4,9,4,0,4,5,0,0,761,706,34,6,1,10,4,0,0,495,474,11,0,4,1,4,0,4,1,4,0,0,634,596,22,4,2,1,5,0,2,1,5,1,4,697,661,22,2,4,11,1,0,0,529,508,12,1,3,8,1,0,0,544,517,8,0,2,1,1,1,14,724,673,18,3,10,16,2,544,517,8,1,4,10,1
3102500005W,2,3102500005W,324,101,205,405,128,255,384,98,259,283,98,167,284,103,181,204,0,204,351,97,227,690,666,13,3,0,3,0,3,0,2,0,0,840,786,19,5,0,8,0,0,0,644,617,14,3,0,3,0,3,0,2,0,0,0,796,719,34,4,10,9,0,4,10,3,0,18,1,815,764,34,3,2,11,1,0,0,623,591,20,2,1,6,1,0,0,635,576,36,6,0,2,0,0,15,840,740,57,10,6,18,0,635,576,36,7,3,10,0
3102500010P,2,3102500010P,564,147,401,665,193,456,615,106,483,496,133,345,503,150,353,372,0,372,575,142,405,862,807,33,5,7,5,3,0,3,5,0,0,1192,1092,69,20,6,6,3,0,0,896,828,33,5,12,17,3,0,5,16,3,0,0,1269,1133,72,22,24,15,3,3,20,14,3,0,26,1111,1072,11,3,1,18,1,0,0,863,843,4,2,0,11,1,0,0,812,774,11,4,1,2,0,5,15,1068,999,27,10,4,14,3,812,774,11,6,2,10,3
3104500004P,3,3104500004P,175,68,105,191,68,117,182,47,122,173,70,101,172,78,94,119,0,119,176,54,110,516,453,24,37,0,1,0,37,0,1,0,0,653,562,49,47,1,4,0,0,0,572,506,34,11,0,14,0,10,0,3,0,1,0,721,639,55,21,0,15,0,11,0,3,0,0,14,712,650,17,8,16,23,5,0,0,537,497,13,6,7,16,1,0,0,547,493,11,3,2,15,0,0,23,741,641,21,12,16,42,4,547,493,11,5,11,24,0
3100100005P,3,3100100005P,557,104,440,652,139,503,612,74,498,485,108,364,479,94,385,408,0,408,626,103,497,630,625,3,0,4,0,0,0,3,0,0,0,843,789,28,15,7,1,0,0,0,686,679,5,1,2,1,0,1,1,1,0,0,0,975,930,26,19,5,3,0,4,4,0,0,0,15,960,934,14,0,9,3,0,0,0,737,721,9,0,5,3,0,0,0,827,776,21,1,4,2,0,1,22,1079,1004,33,8,11,19,0,827,776,21,4,6,17,0
3114500008P,3,3114500008P,454,69,374,544,78,453,511,53,422,392,76,305,393,72,321,350,0,350,487,56,408,618,560,22,14,0,27,0,14,0,0,0,0,875,733,29,15,0,97,0,0,0,613,569,21,13,0,7,0,11,0,0,0,0,0,840,726,44,18,13,37,0,15,0,0,0,1,50,980,926,45,2,6,1,0,0,0,757,731,23,0,2,1,0,0,0,793,745,25,4,4,4,0,2,9,1041,957,43,8,6,17,0,793,745,25,4,4,8,0
3118500002P,3,3118500002P,292,51,236,366,76,285,348,53,274,257,43,201,258,51,207,220,0,220,330,57,251,510,485,1,0,12,2,0,0,12,1,0,0,650,617,5,0,13,2,0,0,0,448,433,1,0,6,1,0,0,6,0,0,0,0,586,559,11,0,8,1,0,0,8,0,0,0,1,613,604,3,4,0,3,0,0,0,471,466,1,2,0,3,0,0,0,475,458,3,1,0,0,0,0,13,591,568,8,5,2,4,1,475,458,3,5,2,3,1
31055008-20,2,31055008-20,1176,508,633,1581,744,807,1436,450,915,970,437,495,972,474,498,703,0,703,1141,479,587,1750,1540,190,0,5,0,18,0,5,0,0,0,2728,2356,254,14,27,0,80,0,0,1654,1520,98,0,6,0,24,0,6,0,24,0,0,2607,2360,144,10,38,0,56,0,38,0,27,0,39,1793,1533,106,74,81,13,9,0,0,1260,1106,63,33,58,5,5,0,0,2317,1811,128,72,247,8,2,2,47,3608,2742,210,176,446,49,3,2317,1811,128,89,274,31,3
31055002-24,2,31055002-24,798,462,310,947,582,339,849,420,358,693,422,248,690,436,254,431,0,431,945,493,386,1891,1381,53,420,6,32,0,403,6,32,0,0,2863,1718,516,588,12,33,0,0,0,1999,1344,83,529,6,41,0,436,6,41,0,0,0,3165,1606,554,956,9,38,0,654,9,38,0,0,303,2989,1755,557,649,22,63,2,0,0,2129,1409,307,386,14,44,2,0,0,1913,1105,333,374,15,18,0,8,60,2677,1332,553,675,26,103,5,1913,1105,333,399,17,65,1
31055005-14,1,31055005-14,1255,481,737,1452,644,781,1315,355,878,1144,453,661,1142,473,669,881,0,881,1342,491,764,1894,1797,48,26,15,0,0,14,10,0,0,0,2485,2299,62,45,80,0,0,0,0,1730,1631,51,37,4,4,0,18,0,0,0,0,0,2257,2103,71,51,21,13,0,26,11,0,0,0,46,2523,2324,105,36,51,12,2,0,0,1907,1796,57,16,35,7,1,0,0,1809,1637,63,32,35,3,0,3,36,2394,2115,106,83,58,38,3,1809,1637,63,40,38,23,0
31055008-08,2,31055008-08,364,128,231,440,172,261,376,76,287,342,120,217,342,139,203,248,0,248,362,132,222,455,422,7,15,1,10,0,14,0,0,0,0,551,499,17,29,1,10,0,0,0,411,371,15,13,1,8,0,15,0,0,0,0,0,523,463,26,36,1,7,0,24,0,0,0,0,9,468,440,13,12,0,3,0,0,0,386,369,6,8,0,2,0,0,0,515,454,18,16,11,2,0,2,12,625,545,25,18,19,7,1,515,454,18,16,13,4,0
31055001-17,1,31055001-17,1041,759,249,1270,999,251,933,507,334,988,741,217,984,761,223,454,0,454,1134,781,256,2376,1883,78,344,32,20,0,318,32,6,10,0,3713,2145,205,780,561,32,10,0,0,2218,1772,115,242,69,18,0,217,68,1,0,0,0,3235,2098,275,527,318,19,9,503,304,1,0,0,55,3194,1977,371,483,340,55,14,0,0,2435,1605,233,353,207,35,8,0,0,2446,1501,203,391,247,13,0,9,82,3165,1765,280,612,449,78,2,2446,1501,203,434,264,55,1
311550000W3,1,311550000W3,614,180,417,682,207,458,631,129,476,587,182,382,589,200,389,454,0,454,625,169,424,1052,1041,0,6,0,11,0,6,0,10,0,0,1478,1454,8,15,0,11,0,0,0,992,974,0,1,0,16,0,1,0,7,0,0,0,1503,1475,0,9,0,14,0,4,0,6,0,0,14,1497,1393,67,20,12,6,0,0,0,1059,1002,44,5,5,4,0,0,0,996,929,40,2,2,0,0,2,21,1390,1282,59,6,9,17,0,996,929,40,4,3,12,0
3113100003P,2,3113100003P,393,103,281,500,124,367,484,89,377,341,97,230,342,103,239,277,0,277,394,105,271,613,600,5,4,0,3,0,3,0,0,0,0,856,810,19,5,0,9,0,0,0,585,570,5,3,0,2,0,0,0,0,0,0,0,768,742,27,4,0,4,0,0,0,0,0,0,7,802,786,7,0,1,5,0,0,0,614,606,3,0,1,4,0,0,0,613,584,15,0,0,2,0,0,12,814,753,29,1,5,24,0,613,584,15,0,3,13,0
3113100013P,2,3113100013P,596,140,440,710,188,509,669,95,534,516,127,368,515,140,375,450,0,450,640,148,459,981,879,29,40,19,39,0,24,8,3,0,0,1402,1190,90,78,20,43,0,0,0,926,843,28,33,6,40,0,17,3,8,0,0,0,1292,1097,100,63,11,39,0,18,5,7,0,0,70,1421,1268,125,13,9,11,6,0,0,1096,998,73,8,4,9,4,0,0,1104,991,70,2,5,6,0,3,27,1381,1204,117,10,11,25,1,1104,991,70,4,8,21,1
3112900008P,3,3112900008P,273,53,214,310,67,237,301,36,255,254,63,179,256,53,203,217,0,217,294,50,228,460,455,7,0,0,0,0,0,0,0,0,0,606,563,9,8,35,3,1,0,0,444,429,12,1,0,4,0,1,0,4,0,0,0,563,523,10,14,25,9,2,1,25,4,2,0,13,618,593,16,3,1,7,0,0,0,510,494,9,2,0,5,0,0,0,485,464,9,2,0,1,0,0,9,589,548,17,5,3,14,0,485,464,9,2,1,7,0
311550000W5,1,311550000W5,657,179,462,792,221,557,747,132,575,609,173,410,611,205,406,467,0,467,591,133,428,981,943,13,16,0,11,0,15,0,8,0,0,1303,1245,20,21,0,9,0,0,0,877,846,11,14,0,11,0,13,0,6,0,0,0,1233,1195,13,18,0,10,0,13,0,5,0,0,12,1432,1333,39,28,25,11,0,0,0,1051,984,28,19,12,8,0,0,0,1089,1016,34,9,4,7,0,1,18,1536,1402,65,24,14,22,1,1089,1016,34,10,8,19,0
3112100012P,3,3112100012P,381,94,277,438,107,323,404,77,288,343,92,236,347,98,249,255,0,255,422,103,305,582,545,10,0,0,25,0,0,0,0,0,0,752,673,48,0,0,26,0,0,0,622,598,10,0,0,10,0,0,0,0,0,0,0,764,702,50,0,0,11,0,0,0,0,0,0,11,849,772,65,1,2,11,0,0,0,653,614,31,1,0,7,0,0,0,561,502,46,4,0,0,0,0,9,724,624,79,6,0,9,1,561,502,46,4,0,8,0
31153000053,2,31153000053,1823,763,998,2254,1028,1177,2068,620,1321,1569,703,811,1566,724,842,1098,0,1098,1905,770,1001,3236,2971,111,65,85,10,0,65,60,10,0,0,4624,4123,184,63,223,35,0,0,0,3501,3256,145,60,34,10,0,60,4,10,0,0,0,4803,4370,223,58,121,51,0,58,90,31,0,0,31,3903,3546,154,58,131,17,6,0,0,2575,2372,85,29,82,11,4,0,0,3166,2702,188,59,97,10,0,6,104,4499,3718,323,156,222,90,8,3166,2702,188,87,133,52,5
31153000041,2,31153000041,1846,652,1138,2193,930,1217,1978,471,1377,1706,597,1050,1706,646,1060,1287,0,1287,1855,650,1078,2373,2067,116,137,50,0,0,124,50,0,0,0,3516,2852,320,275,71,11,0,0,0,2255,2052,72,72,55,0,0,72,55,0,0,0,0,3281,2880,218,104,75,0,0,74,75,0,0,0,30,3102,2715,144,103,126,18,6,0,0,2085,1859,76,61,77,9,5,0,0,2841,2438,146,56,95,3,4,3,96,3785,3136,268,133,184,76,7,2841,2438,146,77,125,57,7
3101100007P,3,3101100007P,328,81,241,348,81,262,319,65,232,315,88,216,321,80,241,226,0,226,382,94,261,476,456,4,9,3,0,0,9,3,0,0,0,610,584,6,17,3,0,0,0,0,525,498,4,7,2,9,0,4,2,0,0,0,0,695,652,13,18,2,18,0,5,2,0,0,0,24,609,599,2,8,0,1,0,0,0,475,471,0,3,0,1,0,0,0,464,440,13,0,2,0,0,0,9,594,553,24,2,2,12,0,464,440,13,1,2,6,0
3111900025P,3,3111900025P,264,84,176,303,102,198,291,77,200,248,74,162,246,84,162,195,0,195,294,89,188,658,390,243,5,12,5,0,4,12,4,0,0,1228,476,699,14,35,7,0,0,0,593,386,183,5,12,9,0,4,12,3,0,0,0,1099,515,525,21,42,13,0,7,41,4,0,0,13,1127,579,534,16,0,8,0,0,0,741,442,296,6,0,2,0,0,0,753,328,364,0,42,3,0,4,12,1076,405,570,18,65,30,0,753,328,364,5,42,9,0
3111900016P,3,3111900016P,238,33,201,311,47,258,297,40,243,198,29,166,196,32,164,166,0,166,278,34,222,440,407,24,0,4,0,0,0,4,0,0,0,608,564,36,4,6,0,0,0,0,451,426,26,0,2,0,0,0,2,0,0,0,0,573,540,34,9,3,0,0,2,3,0,0,0,2,639,607,17,5,8,4,0,0,0,475,460,10,2,2,2,0,0,0,454,429,12,0,3,7,0,1,2,695,644,28,4,3,13,0,454,429,12,0,3,9,0
31153000016,2,31153000016,1316,576,694,1589,759,782,1442,496,838,1131,510,577,1129,534,595,787,0,787,1480,610,766,2414,1964,255,60,95,25,0,60,95,0,0,0,3407,2424,589,121,227,85,0,0,0,2763,2383,250,60,55,15,0,60,55,0,0,0,0,3563,2430,535,124,134,66,0,84,134,0,0,321,58,3402,2699,526,88,75,35,13,0,0,2506,2100,297,53,43,25,5,0,0,2623,1814,624,75,36,8,0,8,58,3515,2213,1002,171,74,102,6,2623,1814,624,94,47,79,3
3115900006P,2,3115900006P,261,67,189,303,88,210,275,29,236,246,65,173,246,71,175,207,0,207,258,66,185,373,359,5,2,2,5,0,2,1,1,2,0,492,474,6,4,4,6,2,0,0,363,351,5,2,2,6,0,2,1,1,0,2,0,485,470,6,4,4,6,2,3,3,1,0,0,6,475,460,10,4,2,0,0,0,0,361,356,6,1,1,0,0,0,0,406,395,2,1,2,0,0,0,6,541,521,6,3,4,2,2,406,395,2,1,3,2,0
3115100010P,2,3115100010P,506,163,325,667,201,450,627,133,447,420,162,234,418,167,251,331,0,331,517,158,329,873,807,52,1,19,4,0,1,19,0,0,0,1253,1093,105,8,45,10,0,0,0,840,726,78,7,39,5,0,2,39,0,0,0,0,1313,961,270,7,67,11,0,2,64,0,0,0,18,1310,1140,125,36,19,17,1,0,0,982,854,102,30,11,12,1,0,0,1014,913,61,9,9,4,0,0,18,1352,1188,98,24,17,30,0,1014,913,61,12,11,16,0
31079000016,3,31079000016,973,255,693,1237,359,851,1176,235,868,815,243,551,815,240,575,651,0,651,1018,225,747,1858,1729,61,45,20,10,0,45,20,10,0,0,2661,2259,140,215,18,46,0,0,0,1867,1698,86,45,20,20,0,45,20,20,0,0,0,2569,2159,220,126,21,62,0,100,21,43,0,0,26,2175,1740,390,22,14,31,10,0,0,1539,1313,205,9,8,20,4,0,0,1844,1489,255,45,18,5,0,7,25,2570,1934,452,116,38,69,0,1844,1489,255,49,27,40,0
3117700014P,2,3117700014P,954,265,669,1134,351,773,1034,173,802,883,256,600,879,279,600,712,0,712,944,244,659,996,937,3,47,0,10,0,38,0,10,0,0,1264,1190,8,49,0,8,0,0,0,1024,983,3,37,0,0,0,28,0,0,0,0,0,1335,1268,21,37,0,0,0,27,0,0,0,9,12,1530,1459,24,28,9,13,1,0,0,1170,1129,15,16,7,9,1,0,0,1289,1245,8,8,2,1,0,2,23,1681,1602,26,24,12,14,0,1289,1245,8,13,8,9,0
3115100013P,2,3115100013P,250,128,113,316,158,151,306,128,153,215,108,96,214,118,96,163,0,163,276,136,115,645,453,179,2,3,8,0,2,3,6,0,0,1093,517,565,3,3,10,0,0,0,706,501,184,4,3,11,0,4,3,9,0,0,0,1313,617,677,4,3,11,0,4,3,11,0,0,3,1316,567,700,14,25,13,2,0,0,884,450,399,6,18,9,1,0,0,941,440,441,7,29,3,0,3,18,1370,539,742,13,54,91,2,941,440,441,7,33,55,0
3115900015P,2,3115900015P,443,128,303,529,179,339,505,89,392,397,128,256,401,127,274,325,0,325,448,124,286,1422,1326,56,25,15,9,0,22,15,0,0,0,1677,1524,93,32,21,8,2,0,0,1446,1350,58,22,15,7,0,20,15,0,0,0,0,1717,1579,84,31,22,9,3,24,19,0,0,0,10,1680,1586,35,28,18,15,3,0,0,1441,1369,25,24,15,9,3,0,0,1460,1317,62,21,11,4,0,4,41,1715,1531,87,32,24,34,5,1460,1317,62,26,18,25,1
3115900017P,2,3115900017P,480,120,345,553,139,399,533,73,425,429,122,291,435,146,289,362,0,362,457,83,349,863,808,21,4,4,19,0,4,4,0,0,0,1147,1075,35,19,12,22,0,0,0,979,910,41,4,4,14,0,4,0,0,0,0,0,1269,1168,66,17,7,19,0,2,0,0,0,0,28,1069,1035,14,4,3,12,0,0,0,786,770,6,2,1,7,0,0,0,760,702,18,2,2,3,0,3,30,1032,945,26,13,7,33,2,760,702,18,4,5,26,1
3115900016P,2,3115900016P,949,264,663,1103,335,745,1056,180,838,880,285,569,876,264,612,694,0,694,898,251,607,1209,1183,6,0,0,4,0,0,0,0,14,0,1770,1736,12,15,3,19,0,0,0,1116,1092,9,2,0,4,0,2,0,0,0,9,0,1653,1626,12,10,2,13,0,1,2,0,0,0,13,1731,1674,33,5,8,11,0,0,0,1231,1207,10,1,5,8,0,0,0,1348,1276,28,8,1,8,0,0,27,1858,1754,47,13,14,30,2,1348,1276,28,11,11,22,0
3115900013P,2,3115900013P,952,310,621,1187,418,745,1100,233,804,829,316,497,826,287,539,644,0,644,949,311,602,1423,1345,42,4,0,34,0,4,0,0,0,0,1855,1739,77,5,7,34,0,0,0,1525,1430,59,7,0,32,0,7,0,0,0,0,0,1924,1803,74,7,7,33,0,7,7,0,0,0,33,1776,1696,33,15,19,19,1,0,0,1375,1333,15,6,12,11,1,0,0,1623,1550,30,9,2,1,0,5,26,2108,1981,64,21,11,27,3,1623,1550,30,12,4,18,2
3113300004P,2,3113300004P,189,30,154,212,30,177,205,23,173,165,33,127,163,33,130,137,0,137,208,29,169,330,323,0,2,0,2,0,2,0,0,2,0,407,402,2,2,0,1,1,0,0,368,365,0,2,0,2,0,2,0,0,0,2,0,468,458,3,3,0,1,1,2,0,0,0,0,2,409,393,6,7,2,1,0,0,0,320,314,3,1,1,1,0,0,0,295,288,1,0,0,0,1,0,5,372,365,1,1,1,0,1,295,288,1,1,1,0,1
3111100014P,3,3111100014P,333,49,275,383,50,324,366,42,297,296,49,233,296,54,242,251,0,251,361,48,295,463,447,14,0,0,3,0,0,0,0,0,0,587,558,25,2,0,1,0,0,0,407,392,11,1,0,3,0,1,0,0,0,0,0,501,464,33,4,0,1,0,2,0,0,0,0,3,659,620,33,0,0,5,0,0,0,532,507,20,0,0,4,0,0,0,516,489,22,0,0,2,0,0,3,628,583,36,1,1,7,0,516,489,22,0,0,6,0
3117700009P,2,3117700009P,525,131,380,645,186,446,591,94,450,463,124,323,464,131,333,360,0,360,548,123,388,663,636,11,2,0,10,0,0,0,0,0,0,843,815,14,5,0,11,0,0,0,633,614,8,5,0,6,0,0,0,0,0,0,0,853,824,19,5,0,8,0,0,0,0,0,0,13,833,778,37,8,4,4,2,0,0,601,573,18,4,2,3,2,0,0,727,686,16,3,6,2,0,1,13,964,888,32,8,21,15,1,727,686,16,5,7,12,0
3109700008P,2,3109700008P,161,42,117,177,49,124,165,30,124,152,40,107,154,46,108,125,0,125,168,40,126,280,198,18,46,0,5,0,45,0,1,0,0,325,231,38,44,1,5,0,0,0,273,202,18,37,0,9,0,31,0,3,0,0,0,308,221,26,37,1,9,1,32,1,2,0,0,5,308,293,9,1,2,3,0,0,0,245,235,5,0,2,3,0,0,0,203,189,8,0,3,0,0,0,3,246,225,13,0,5,4,0,203,189,8,0,4,4,0
3103300001P,3,3103300001P,296,30,261,344,27,312,334,36,264,267,28,233,269,30,239,244,0,244,366,30,321,506,471,4,3,0,24,0,3,0,4,0,0,619,564,5,26,0,23,0,0,0,489,452,12,3,4,13,3,3,3,4,3,3,0,631,560,40,24,6,46,2,1,4,4,2,0,24,644,607,30,1,1,5,0,0,0,509,493,13,0,1,2,0,0,0,490,461,8,2,0,3,0,0,16,611,568,18,7,2,13,1,490,461,8,4,1,12,1
3117500005P,3,3117500005P,290,52,235,319,53,263,301,41,242,259,52,199,258,55,203,218,0,218,313,46,260,439,409,20,0,0,4,0,0,0,4,0,0,573,542,27,0,0,4,0,0,0,469,457,9,0,0,4,0,0,0,0,0,0,0,580,568,10,0,0,1,0,0,0,0,0,0,1,584,574,4,0,4,2,0,0,0,469,462,2,0,2,1,0,0,0,420,398,12,0,0,0,0,0,10,524,495,14,2,1,5,2,420,398,12,0,1,2,2
3114500009P,3,3114500009P,363,63,293,405,56,343,398,39,336,325,59,256,325,70,255,285,0,285,384,73,299,435,411,17,0,0,6,0,0,0,0,0,0,557,513,22,0,0,22,0,0,0,497,492,0,0,3,2,0,0,0,0,0,0,0,650,583,0,0,59,8,0,0,0,0,0,0,67,618,599,15,0,4,1,0,0,0,463,454,8,0,1,1,0,0,0,495,465,21,1,1,1,0,0,6,642,595,32,4,3,7,1,495,465,21,1,3,5,1
31013001311,3,31013001311,279,35,237,363,41,313,351,35,301,224,22,196,223,42,181,199,0,199,297,23,262,475,435,36,7,0,0,0,7,0,0,0,0,621,533,68,8,9,0,0,0,0,470,428,29,5,0,0,0,5,0,0,0,0,0,613,518,76,8,10,0,0,8,10,0,0,0,0,710,658,35,3,3,10,0,0,0,550,525,24,2,3,4,0,0,0,476,452,5,0,4,3,0,2,10,614,553,18,5,6,29,0,476,452,5,1,5,10,0
31055004-12,1,31055004-12,930,425,476,1124,550,542,1048,406,573,796,381,386,792,394,398,564,0,564,1043,429,558,1663,1283,315,4,60,0,0,4,20,0,0,0,2818,1475,1059,84,95,20,31,0,0,1504,1134,324,0,44,0,0,0,14,0,0,0,0,2675,1235,1271,358,76,0,26,0,16,0,7,0,147,2580,1798,666,58,44,52,4,0,0,1927,1462,385,34,33,35,1,0,0,2065,1279,645,34,15,23,4,8,57,2781,1525,1065,100,22,138,6,2065,1279,645,60,20,98,6
